organisms,Organism Groups,Assembly,Size(Mb),GC%
Acidithiobacillus ferrooxidans ATCC 23270,Bacteria;Proteobacteria;Acidithiobacillia,GCA_000021485.1,2.9824,58.8
Cytophaga hutchinsonii ATCC 33406,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_000014145.1,4.43322,38.8
Rhodospirillum rubrum F11,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_000225955.1,4.35283,65.4
Chloroflexus aurantiacus Y-400-fl,Bacteria;Terrabacteria group;Chloroflexi,GCA_000022185.1,5.26895,56.7
Ruminococcus albus,Bacteria;Terrabacteria group;Firmicutes,GCA_900109655.1,3.84524,45.2
Deinococcus radiodurans ATCC 13939,Bacteria;Terrabacteria group;Deinococcus-Thermus,GCA_000687895.1,3.24071,66.8
Streptococcus gordonii str. Challis substr. CH1,Bacteria;Terrabacteria group;Firmicutes,GCA_000017005.1,2.19666,40.5
Clostridium acetobutylicum DSM 1731,Bacteria;Terrabacteria group;Firmicutes,GCA_000218855.1,4.14558,30.8866
Lactobacillus gasseri ATCC 33323 = JCM 1131,Bacteria;Terrabacteria group;Firmicutes,GCA_000014425.1,1.89436,35.3
Listeria innocua,Bacteria;Terrabacteria group;Firmicutes,GCA_009648575.1,2.92215,37.4705
Corynebacterium diphtheriae,Bacteria;Terrabacteria group;Actinobacteria,GCA_001457455.1,2.46367,53.5
Mycolicibacterium smegmatis,Bacteria;Terrabacteria group;Actinobacteria,GCA_001457595.1,6.98327,67.3
Thermobifida fusca YX,Bacteria;Terrabacteria group;Actinobacteria,GCA_000012405.1,3.64225,67.5
Mycoplasma pneumoniae FH,Bacteria;Terrabacteria group;Tenericutes,GCA_001272835.1,0.817207,40
Mycoplasma pulmonis UAB CTIP,Bacteria;Terrabacteria group;Tenericutes,GCA_000195875.1,0.963879,26.6
Methanocaldococcus jannaschii DSM 2661,Archaea;Euryarchaeota;Methanomada group,GCA_000091665.1,1.73993,31.2688
Methanosarcina barkeri 3,Archaea;Euryarchaeota;Stenosarchaea group,GCA_000970305.1,4.56045,39.1
Archaeoglobus fulgidus DSM 8774,Archaea;Euryarchaeota;Archaeoglobi,GCA_000734035.1,2.31629,48.1
Thermoplasma acidophilum DSM 1728,Archaea;Euryarchaeota;Diaforarchaea group,GCA_000195915.1,1.56491,46
Thermotoga maritima MSB8,Bacteria;Thermotogae;Thermotogae,GCA_000230655.3,1.86964,46.2
Pyrobaculum aerophilum str. IM2,Archaea;TACK group;Crenarchaeota,GCA_000007225.1,2.22243,51.4
Mycoplasma penetrans HF-2,Bacteria;Terrabacteria group;Tenericutes,GCA_000011225.1,1.35863,25.7
Geobacter metallireducens GS-15,Bacteria;Proteobacteria;delta/epsilon subdivisions,GCA_000012925.1,4.01118,59.476
Pyrococcus abyssi GE5,Archaea;Euryarchaeota;Thermococci,GCA_000195935.2,1.76856,44.6975
Streptomyces avermitilis MA-4680 = NBRC 14893,Bacteria;Terrabacteria group;Actinobacteria,GCA_000009765.2,9.11989,70.6845
Yersinia enterocolitica,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_001182085.1,4.56687,47.1
Geobacter sulfurreducens PCA,Bacteria;Proteobacteria;delta/epsilon subdivisions,GCA_000007985.2,3.81413,60.9
Spiroplasma kunkelii CR2-3x,Bacteria;Terrabacteria group;Tenericutes,GCA_001274875.1,1.51456,25.0104
Novosphingobium aromaticivorans DSM 12444,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_000013325.1,4.23331,65.1542
Thermoplasma volcanium GSS1,Archaea;Euryarchaeota;Diaforarchaea group,GCA_000011185.1,1.5848,39.9
Pyrococcus horikoshii OT3,Archaea;Euryarchaeota;Thermococci,GCA_000011105.1,1.7385,41.9
Aeropyrum pernix K1,Archaea;TACK group;Crenarchaeota,GCA_000011125.1,1.6697,56.3
Dehalococcoides mccartyi,Bacteria;Terrabacteria group;Chloroflexi,GCA_002028285.1,1.38891,47.3
Aquifex aeolicus VF5,Bacteria;Aquificae;Aquificae,GCA_000008625.1,1.59079,43.3239
Nostoc punctiforme PCC 73102,Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group,GCA_000020025.1,9.05919,41.3416
Halobacterium salinarum NRC-1,Archaea;Euryarchaeota;Stenosarchaea group,GCA_000006805.1,2.57101,65.9192
Chlamydia caviae GPIC,Bacteria;PVC group;Chlamydiae,GCA_000007605.1,1.18136,39.1629
Chlamydia muridarum str. Nigg,Bacteria;PVC group;Chlamydiae,GCA_000006685.1,1.08045,40.2681
Bacillus halodurans C-125,Bacteria;Terrabacteria group;Firmicutes,GCA_000011145.1,4.20235,43.7
Ferroplasma acidarmanus fer1,Archaea;Euryarchaeota;Diaforarchaea group,GCA_000152265.2,1.93521,36.5
Streptomyces coelicolor,Bacteria;Terrabacteria group;Actinobacteria,GCA_013363625.1,7.49507,72.4
Sulfurisphaera tokodaii str. 7,Archaea;TACK group;Crenarchaeota,GCA_000011205.1,2.69476,32.8
Cupriavidus metallidurans CH34,Bacteria;Proteobacteria;Betaproteobacteria,GCA_000196015.1,6.91335,63.5184
Carboxydothermus hydrogenoformans Z-2901,Bacteria;Terrabacteria group;Firmicutes,GCA_000012865.1,2.40152,42
Paraburkholderia xenovorans,Bacteria;Proteobacteria;Betaproteobacteria,GCA_013177705.1,7.8086,63
Wigglesworthia glossinidia endosymbiont of Glossina brevipalpis,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000008885.1,0.703004,22.4962
Colwellia psychrerythraea 34H,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000012325.1,5.37318,38
Ruegeria pomeroyi DSS-3,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_000011965.2,4.60105,64.0504
Pyrococcus furiosus DSM 3638,Archaea;Euryarchaeota;Thermococci,GCA_008245085.1,1.88991,40.8
Methanothermobacter thermautotrophicus str. Delta H,Archaea;Euryarchaeota;Methanomada group,GCA_000008645.1,1.75138,49.5
Oceanobacillus iheyensis HTE831,Bacteria;Terrabacteria group;Firmicutes,GCA_000011245.1,3.63053,35.7
Methanosarcina acetivorans C2A,Archaea;Euryarchaeota;Stenosarchaea group,GCA_000007345.1,5.75149,42.7
Methanopyrus kandleri AV19,Archaea;Euryarchaeota;Methanopyri,GCA_000007185.1,1.69497,61.2
Methanosarcina mazei Go1,Archaea;Euryarchaeota;Stenosarchaea group,GCA_000007065.1,4.09635,41.5
Chlorobaculum tepidum TLS,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_000006985.1,2.15495,56.5
Corynebacterium efficiens YS-314,Bacteria;Terrabacteria group;Actinobacteria,GCA_000011305.1,3.2195,62.9346
Thermosynechococcus elongatus BP-1,Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group,GCA_000011345.1,2.59386,53.9
Leuconostoc mesenteroides subsp. mesenteroides,Bacteria;Terrabacteria group;Firmicutes,GCA_009676745.1,1.85432,37.008
Saccharophagus degradans 2-40,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000013665.1,5.05753,45.8
Trichodesmium erythraeum IMS101,Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group,GCA_000014265.1,7.75011,34.1
Shewanella oneidensis MR-1,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_013267215.1,4.97234,46
Anaplasma phagocytophilum str. JM,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_000439775.1,1.4816,41.6
Haloarcula marismortui ATCC 43049,Archaea;Euryarchaeota;Stenosarchaea group,GCA_000011085.1,4.27464,61.1403
Bordetella avium 197N,Bacteria;Proteobacteria;Betaproteobacteria,GCA_000070465.1,3.73225,61.6
Acidobacterium capsulatum ATCC 51196,Bacteria;Acidobacteria;Acidobacteriia,GCA_000022565.1,4.12736,60.5
Neorickettsia sennetsu str. Miyayama,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_000013165.1,0.859006,41.1
Pectobacterium atrosepticum,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000740965.1,5.02425,51.0735
Salmonella bongori serovar 48:z81:-,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_013138145.1,4.49542,51.3
Streptococcus uberis,Bacteria;Terrabacteria group;Firmicutes,GCA_900460135.1,1.94213,36.7
Chlamydia abortus LLG,Bacteria;PVC group;Chlamydiae,GCA_000213905.2,1.14369,39.9
Chlamydia felis Fe/C-56,Bacteria;PVC group;Chlamydiae,GCA_000009945.1,1.17379,39.3646
Bacteroides thetaiotaomicron,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_001314975.1,6.48768,42.7
Rhodopirellula baltica SH 1,Bacteria;PVC group;Planctomycetes,GCA_000196115.1,7.14558,55.4
Bartonella quintana,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_009936175.1,1.58868,38.8
Rhodobacter capsulatus,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_003254295.1,3.66882,66.5
Clostridium tetani E88,Bacteria;Terrabacteria group;Firmicutes,GCA_000007625.1,2.87333,28.5917
Lactobacillus acidophilus La-14,Bacteria;Terrabacteria group;Firmicutes,GCA_000389675.2,1.99158,34.7
Helicobacter hepaticus ATCC 51449,Bacteria;Proteobacteria;delta/epsilon subdivisions,GCA_000007905.1,1.79915,35.9
Lawsonia intracellularis N343,Bacteria;Proteobacteria;delta/epsilon subdivisions,GCA_000331715.1,1.71919,33.0918
Bartonella henselae,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_001291465.1,1.90538,38.2
Hyperthermus butylicus DSM 5456,Archaea;TACK group;Crenarchaeota,GCA_000015145.1,1.66716,53.7
Leifsonia xyli,Bacteria;Terrabacteria group;Actinobacteria,GCA_001647635.1,3.59676,70.2
Mannheimia haemolytica USMARC_2286,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000439735.1,2.65851,41.1
Lactiplantibacillus plantarum,Bacteria;Terrabacteria group;Firmicutes,GCA_003269405.1,3.23125,44.6
Pediococcus pentosaceus ATCC 25745,Bacteria;Terrabacteria group;Firmicutes,GCA_000014505.1,1.83239,37.4
Lactobacillus brevis,Bacteria;Terrabacteria group;Firmicutes,GCA_900475625.1,2.49433,46
Brevibacterium linens,Bacteria;Terrabacteria group;Actinobacteria,GCA_006385015.1,4.42116,64.3
Serratia marcescens,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_011602465.1,5.08839,59.8
Mycoplasma gallisepticum VA94_7994-1-7P,Bacteria;Terrabacteria group;Tenericutes,GCA_000286675.1,0.96411,31.6
Wolinella succinogenes DSM 1740,Bacteria;Proteobacteria;delta/epsilon subdivisions,GCA_000196135.1,2.11036,48.5
Chromobacterium violaceum,Bacteria;Proteobacteria;Betaproteobacteria,GCA_002081735.1,4.76071,65
Rickettsia sibirica 246,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_000166935.1,1.25002,32.5
Myxococcus xanthus DK 1622,Bacteria;Proteobacteria;delta/epsilon subdivisions,GCA_000012685.1,9.13976,68.9
Mycoplasma arthritidis,Bacteria;Terrabacteria group;Tenericutes,GCA_900660715.1,0.806209,30.7
Photorhabdus luminescens,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_002204205.1,5.47145,42.6
Gloeobacter violaceus PCC 7421,Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group,GCA_000011385.1,4.65902,62
Methylobacillus flagellatus,Bacteria;Proteobacteria;Betaproteobacteria,GCA_005502435.1,2.37571,58.7
Moorella thermoacetica,Bacteria;Terrabacteria group;Firmicutes,GCA_001267435.1,2.62335,55.8
Exiguobacterium sibiricum 7-3,Bacteria;Terrabacteria group;Firmicutes,GCA_000620865.1,3.08428,46.9
Mesoplasma florum L1,Bacteria;Terrabacteria group;Tenericutes,GCA_000008305.1,0.793224,27
Crocosphaera watsonii WH 0003,Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group,GCA_000235665.2,5.8905,37.7
Rubrobacter xylanophilus,Bacteria;Terrabacteria group;Actinobacteria,GCA_007164525.1,3.02287,68.7
Kineococcus radiotolerans SRS30216 = ATCC BAA-149,Bacteria;Terrabacteria group;Actinobacteria,GCA_000017305.1,4.95667,74.2104
Ehrlichia canis str. Jake,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_000012565.1,1.31503,29
Burkholderia vietnamiensis,Bacteria;Proteobacteria;Betaproteobacteria,GCA_001718775.1,6.83507,66.8632
Methylibium petroleiphilum PM1,Bacteria;Proteobacteria;Betaproteobacteria,GCA_000015725.1,4.64364,68.7869
Cutibacterium acnes KPA171202,Bacteria;Terrabacteria group;Actinobacteria,GCA_000008345.1,2.56026,60
Staphylococcus haemolyticus,Bacteria;Terrabacteria group;Firmicutes,GCA_001611955.1,2.56015,32.7831
Brucella ovis ATCC 25840,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_000016845.1,3.27559,57.2
Campylobacter coli,Bacteria;Proteobacteria;delta/epsilon subdivisions,GCA_009756375.1,1.7374,31.3
Campylobacter lari RM2100,Bacteria;Proteobacteria;delta/epsilon subdivisions,GCA_000019205.1,1.57166,29.6177
Campylobacter upsaliensis RM3940,Bacteria;Proteobacteria;delta/epsilon subdivisions,GCA_013372245.1,1.62895,35.1
Haloferax volcanii DS2,Archaea;Euryarchaeota;Stenosarchaea group,GCA_000025685.1,4.0129,65.4625
Mycoplasma bovis CQ-W70,Bacteria;Terrabacteria group;Tenericutes,GCA_000696015.1,0.948516,29.3
Persephonella marina EX-H1,Bacteria;Aquificae;Aquificae,GCA_000021565.1,1.98397,37.1242
Simkania negevensis Z,Bacteria;PVC group;Chlamydiae,GCA_000237205.1,2.62838,41.6242
Sulfurihydrogenibium azorense Az-Fu1,Bacteria;Aquificae;Aquificae,GCA_000021545.1,1.64088,32.8
Desulfuromonas acetoxidans,Bacteria;Proteobacteria;delta/epsilon subdivisions,GCA_013371475.1,3.81364,51.9
Chlorobium limicola DSM 245,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_000020465.1,2.76318,51.3
Chlorobium phaeovibrioides DSM 265,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_000016085.1,1.96686,53
Erwinia amylovora CFBP1430,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000091565.1,3.83383,53.5749
Halobacteriovorax marinus SJ,Bacteria;Proteobacteria;Oligoflexia,GCA_000210915.2,3.43791,36.6997
Proteus mirabilis HI4320,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000069965.1,4.0999,38.8761
Klebsiella oxytoca 10-5243,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000247855.1,5.99446,55
Clostridium beijerinckii,Bacteria;Terrabacteria group;Firmicutes,GCA_013294165.1,6.02925,29.9
Citrobacter koseri ATCC BAA-895,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000018045.1,4.73536,53.7998
Cronobacter sakazakii,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_003516125.3,4.43799,56.8946
Prosthecochloris aestuarii DSM 271,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_000020625.1,2.5797,50.1104
Rickettsia akari str. Hartford,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_000018205.1,1.23106,32.3
Streptomyces scabiei 87.22,Bacteria;Terrabacteria group;Actinobacteria,GCA_000091305.1,10.1487,71.5
Desulfotalea psychrophila LSv54,Bacteria;Proteobacteria;delta/epsilon subdivisions,GCA_000025945.1,3.65963,46.6208
Rickettsia canadensis str. CA410,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_000283915.1,1.15023,31
Acaryochloris marina MBIC11017,Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group,GCA_000018105.1,8.3616,46.9889
Pelodictyon phaeoclathratiforme BU-1,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_000020645.1,3.01824,48.1
Syntrophobacter fumaroxidans MPOB,Bacteria;Proteobacteria;delta/epsilon subdivisions,GCA_000014965.1,4.99025,59.9
Syntrophomonas wolfei subsp. wolfei str. Goettingen G311,Bacteria;Terrabacteria group;Firmicutes,GCA_000014725.1,2.9362,44.9
Methanospirillum hungatei JF-1,Archaea;Euryarchaeota;Stenosarchaea group,GCA_000013445.1,3.54474,45.1
Hydrogenovibrio crunogenus XCL-2,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000012605.1,2.42773,43.1
Sulfurimonas denitrificans DSM 1251,Bacteria;Proteobacteria;delta/epsilon subdivisions,GCA_000012965.1,2.20156,34.5
Thiobacillus denitrificans ATCC 25259,Bacteria;Proteobacteria;Betaproteobacteria,GCA_000012745.1,2.90981,66.1
[Mannheimia] succiniciproducens MBEL55E,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000007745.1,2.31408,42.5
Nocardia farcinica,Bacteria;Terrabacteria group;Actinobacteria,GCA_003367415.1,6.42963,70.6521
Photobacterium profundum,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_003026285.1,6.11672,41.3
Thermococcus kodakarensis KOD1,Archaea;Euryarchaeota;Thermococci,GCA_000009965.1,2.08874,52
Lachnospira eligens,Bacteria;Terrabacteria group;Firmicutes,GCA_009680455.1,3.02322,37.6
Halorubrum lacusprofundi ATCC 49239,Archaea;Euryarchaeota;Stenosarchaea group,GCA_000022205.1,3.69258,63.9543
Marinobacter hydrocarbonoclasticus ATCC 49840,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000284615.1,3.98948,57.4
Nautilia profundicola AmH,Bacteria;Proteobacteria;delta/epsilon subdivisions,GCA_000021725.1,1.67644,33.5
Aromatoleum aromaticum EbN1,Bacteria;Proteobacteria;Betaproteobacteria,GCA_000025965.1,4.72726,64.6764
Lactobacillus salivarius str. Ren,Bacteria;Terrabacteria group;Firmicutes,GCA_001011095.1,1.97836,33.0757
Bacillus clausii KSM-K16,Bacteria;Terrabacteria group;Firmicutes,GCA_000009825.1,4.30387,44.8
Gluconobacter oxydans DSM 3504,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_000583855.1,2.88244,61
Pelobacter carbinolicus DSM 2380,Bacteria;Proteobacteria;delta/epsilon subdivisions,GCA_000012885.1,3.66589,55.1
Actinobacillus succinogenes,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_002591855.1,2.31448,44.9
Agrobacterium vitis,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_013426735.1,5.88218,57.4807
Bacteroides vulgatus ATCC 8482,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_000012825.1,5.16319,42.2
Enterobacter cloacae subsp. cloacae,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_002086975.1,5.03433,55.1
Pelobacter propionicus DSM 2379,Bacteria;Proteobacteria;delta/epsilon subdivisions,GCA_000015045.1,4.24112,58.4603
Shewanella amazonensis SB2B,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000015245.1,4.30614,53.6
Shewanella denitrificans OS217,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000013765.1,4.54591,45.1
Shewanella frigidimarina NCIMB 400,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000014705.1,4.84526,41.6
Xenorhabdus bovienii str. puntauvense,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000736635.1,4.4516,44.3
Xenorhabdus nematophila,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_013450035.1,4.17988,43.5
Spiroplasma citri,Bacteria;Terrabacteria group;Tenericutes,GCA_001886855.1,1.64088,25.5462
Microscilla marina ATCC 23134,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_000169175.1,9.77123,40.6
Moraxella catarrhalis BBH18,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000092265.1,1.86329,41.7
Idiomarina baltica OS145,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000152885.1,2.77027,47.3
Mycoplasma fermentans M64,Bacteria;Terrabacteria group;Tenericutes,GCA_000186005.1,1.11875,26.9
Polaromonas naphthalenivorans CJ2,Bacteria;Proteobacteria;Betaproteobacteria,GCA_000015505.1,5.36614,61.6566
Citrobacter rodentium ICC168,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000027085.1,5.44428,54.5286
Mycoplasma alligatoris A21JP2,Bacteria;Terrabacteria group;Tenericutes,GCA_000178375.1,0.97303,26.7
Deinococcus geothermalis DSM 11300,Bacteria;Terrabacteria group;Deinococcus-Thermus,GCA_000196275.1,3.24702,66.4409
Desulfotomaculum reducens MI-1,Bacteria;Terrabacteria group;Firmicutes,GCA_000016165.1,3.6081,42.3
Helicobacter mustelae,Bacteria;Proteobacteria;delta/epsilon subdivisions,GCA_900476215.1,1.57661,42.5
Heliobacterium modesticaldum Ice1,Bacteria;Terrabacteria group;Firmicutes,GCA_000019165.1,3.07541,57
Lentisphaera araneosa HTCC2155,Bacteria;PVC group;Lentisphaerae,GCA_000170755.1,6.02318,41
Listeria ivanovii subsp. ivanovii,Bacteria;Terrabacteria group;Firmicutes,GCA_000763515.1,2.91955,37.2
Listeria seeligeri serovar 1/2b str. SLCC3954,Bacteria;Terrabacteria group;Firmicutes,GCA_000027145.1,2.79764,37.4
Oceanicaulis alexandrii DSM 11625,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_000420265.1,3.01843,62.5
Pseudooceanicola batsensis HTCC2597,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_000152725.1,4.44039,66.1
Oceanicola granulosus HTCC2516,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_000153305.1,4.05314,70.3
Polaribacter irgensii 23-P,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_000153225.1,2.76346,34.6
Nodularia spumigena CCY9414,Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group,GCA_000340565.3,5.46227,41.2
Pseudoalteromonas atlantica,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_002374815.1,3.6696,41
Pseudoalteromonas tunicata,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_003568825.1,4.96752,39.9011
Pyrolobus fumarii 1A,Archaea;TACK group;Crenarchaeota,GCA_000223395.1,1.84327,54.9
Roseiflexus castenholzii DSM 13941,Bacteria;Terrabacteria group;Chloroflexi,GCA_000017805.1,5.7233,60.7
Arthrospira platensis NIES-46,Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group,GCA_009176225.1,5.72865,44.5
Caldicellulosiruptor saccharolyticus DSM 8903,Bacteria;Terrabacteria group;Firmicutes,GCA_000016545.1,2.97027,35.3
Herminiimonas arsenicoxydans,Bacteria;Proteobacteria;Betaproteobacteria,GCA_000026125.1,3.42431,54.3
Edwardsiella ictaluri,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_003054425.1,3.9771,57.2054
Neisseria lactamica,Bacteria;Proteobacteria;Betaproteobacteria,GCA_001064605.1,2.15403,49.8
Nitrobacter hamburgensis X14,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_000013885.1,5.01152,61.6047
Nitrobacter winogradskyi Nb-255,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_000012725.1,3.40209,62
Nitrococcus mobilis Nb-231,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000153205.1,3.62368,59.9
Erythrobacter litoralis HTCC2594,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_000013005.1,3.0524,63.1
Parabacteroides distasonis,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_012273055.1,5.11278,45.0981
Bifidobacterium breve JCM 7017,Bacteria;Terrabacteria group;Actinobacteria,GCA_000568975.1,2.28892,58.7
Blastopirellula marina DSM 3645,Bacteria;PVC group;Planctomycetes,GCA_000153105.1,6.66385,57
Psychroflexus torquis ATCC 700755,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_000153485.2,4.32183,34.5
